PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,56290144
PASSED,-56290144
PASSED,2.88
PASSED,2
PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
FAILED,NaN
FAILED,NaN
FAILED,NaN
FAILED,NaN
PASSED,56290144
PASSED,-56290144
PASSED,2.88
PASSED,2
PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,56290144
PASSED,-56290144
PASSED,2.88
PASSED,2
PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,56290144
PASSED,-56290144
PASSED,2.88
PASSED,2
PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,56290144
PASSED,-56290144
PASSED,2.88
FAILED,2.88
PASSED,0
PASSED,0
PASSED,35
PASSED,52
PASSED,-45
PASSED,-45
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,56290144
PASSED,-56290144
PASSED,2.88
PASSED,2
